# German words     English meaning

# adjectives
neu	    new
gut	    good
groß	big
alt	    old
hoch	high
klein	small
lang	long
jung	young
spät	late
wichtig	important
kurz	short
früh	early
schwer	heavy
richtig	right
schnell	fast
leicht	light
schlecht	bad
falsch	wrong
teuer	expensive
langsam	slow
niedrig	low
kalt	cold
glücklich	happy
gesund	healthy
laut	loud
warm	warm
billig	cheap
krank	ill
leise	quiet
müde	tired

# Animals
die Katze	cat
das Nashorn	rhino
das Flusspferd	hippo
das Krokodil	crocodile
das Kaninchen	rabbit
das Kamel	camel
das Hühnchen	chicken
das Huhn	chicken
das Haustier	pet
das Eichhörnchen	squirrel
der Wolf	wolf
der Wal	whale
der Vogel	bird
der Tiger	tiger
der Skorpion	scorpion
der Schwan	swan
der Pinguin	penguin
der Papagei	parrot
der Löwe	lion
der Krebs	crab
der Käfer	beetle
der Igel	hedgehog
der Hirsch	deer
der Hase	hare
der Hamster	hamster
der Hai	shark
der Hahn	cock
der Fuchs	fox
der Frosch	frog
der Fisch	fish
er Esel	donkey
der Elefant	elephant
der Eisbär	polar bear
der Delfin	dolphine
der Dachs	badger
der Bär	bear
der Affe	monkey
die Ziege	goat
die Taube	pigeon
die Spinne	spider
die Schlange	snake
die Schildkröte	turtle
die Ratte	rat
die Qualle	jellyfish
die Maus	mouse
die Kuh	cow
die Krabbe	shrimp
die Giraffe	giraffe
die Gans	goose
die Fledermaus	bat
die Eule	owl
die Ente	duck
der Adler	eagle
das Zebra	zebra
das Tier	animal
das Schwein	pig
das Schaf	sheep
das Pferd	horse
der Hund	dog

# Body Parts
der Arm	arm
das Bein	leg
der Hals	neck
die Brust	breast
der Bauch	belly
der Kopf	head
das Gesicht	face
der Rücken	back
die Hand	hand
der Ellenbogen	elbow
der Finger	finger
die Schulter	shoulder
der Daumen	thumb
der Muskel	muscle
die Haut	skin
das Haar	hair
das Blut	blood
das Knie	knee
der Fuß	foot
der Zeh	toe
der Knöchel	ankle
die Ferse	heel
das Kinn	chin
der Mund	mouth
die Backe	cheek
die Stirn	forehead
das Auge	eye
die Nase	nose
die Zunge	tongue
das Ohr	ear
der Bart	beard
die Augenbraue	eyebrow
der Kiefer	jaw
die Lippe	lip
der Darm	intestine
die Lunge	lung
das Herz	heart
die Leber	liver
die Niere	kidney
der Nerv	nerve
die Ader	vene
das Gehirn	brain
das Organ	organ
der Magen	stomach

# German vocabulary about workplace, employment and economic terms.
das Büro	office
das Unternehmen	company
der Chef	boss
das Geld	money
der Kollege	colleague
das Gehalt	salary
der Kunde	customer
der Arbeitgeber	employer
der Arbeitnehmer	employee
das Produkt	product
der Schreibtisch	desk
der Drucker	printer
der Anzug	suit
die Krawatte	tie
das Hemd	shirt
der Beruf	profession
die Karriere	career
der Preis	price
der Arbeiter	worker
der Kredit	loan
die Marke	brand
der Briefumschlag	envelope
der Brief	letter
die Versicherung	insurance
der Anruf	call
die Zahlung	payment
der Vertrag	contract
der Auftrag	order
die Industrie	industry
die Dienstleistung	service
das Konto	account
der Termin	appointment
der Gewinn	profit
der Verlust	loss
der Umsatz	sales / turnover
die Arbeit	work
der Wert	value
die Steuer	tax
die Bewerbung	job application
die Währung	currency
der Lebenslauf	CV / resume
das Wachstum	growth
die Bank	bank
die Nachfrage	demand
die Möglichkeit	opportunity
das Netzwerk	network
verdienen	to earn
kaufen	to buy
verkaufen	to sell
bezahlen	to pay
verhandeln	to negotiate
präsentieren	to present

# Names of Family Members
der Vater	father
die Mutter	mother
die Eltern	parents
das Kind	child
der Sohn	son
die Tochter	daughter
der Bruder	brother
die Schwester	sister
die Großmutter	grandmother
der Großvater	grandfather
der Opa	grandpa
die Oma	grandma
der Enkel	grandchild
der Enkelsohn	grandson
die Enkeltochter	granddaughter
der Onkel	uncle
die Tante	aunt
der Cousin	cousin
die Cousine	cousin (female)
der Neffe	nephew
die Nichte	niece
der Verlobte	fiancé
die Verlobte	fiancée
der Ehefrau	wife
die Ehemann	husband
der Schwiegervater	father-in-law
die Schwiegermutter	mother-in-law
der Schwiegersohn	son-in-law
die Schwiegertochter	daughter-in-law
der Schwager	brother-in-law
die Schwägerin	sister-in-law
die Familie	family

#German legal words and terms
das Gericht	court
der Zeuge	witness
der Richter	judge
der Anwalt	lawyer
unschuldig	innocent
schuldig	guilty
rechtlich	legal
der Beweis	evidence
der Betrug	fraud
der Diebstahl	theft
der Raub	robbery
der Mord	murder
der Schaden	damage
der Unfall	accident
das Gesetz	law
der Vertrag	contract
die Festnahme	arrest

# numbers from 1 to 20
eins	one
zwei	two
drei	three
vier	four
fünf	five
sechs	six
sieben	seven
acht	eight
neun	nine
zehn	ten
elf	    eleven
zwölf	twelve
dreizehn	thirteen
vierzehn	fourteen
fünfzehn	fifteen
sechzehn	sixteen
siebzehn	seventeen
achtzehn	eighteen
neunzehn	nineteen
zwanzig	twenty

